672, -994, 
863, -829, 
1021, -630, 
1139, -407, 
1183, -160, 
1205, 75, 
1165, 337, 
1065, 565, 
936, 772, 
738, 941, 
520, 1082, 
287, 1161, 
47, 1202, 
-190, 1184, 
-446, 1114, 
-672, 985, 
-866, 829, 
-1003, 619, 
-1115, 400, 
-1182, 147, 
-1185, -86, 
-1151, -354, 
-1044, -586, 
-918, -778, 
-726, -950, 
-519, -1071, 
-277, -1160, 
-31, -1192, 
225, -1176, 
451, -1098, 
688, -985, 
877, -821, 
1016, -623, 
1128, -401, 
1210, -176, 
1218, 76, 
1153, 327, 
1053, 564, 
927, 770, 
755, 954, 
544, 1068, 
303, 1181, 
55, 1200, 
-195, 1186, 
-415, 1115, 
-656, 996, 
-848, 829, 
-1015, 631, 
-1100, 439, 
-1186, 179, 
-1203, -77, 
-1156, -321, 
-1052, -547, 
-922, -763, 
-754, -939, 
-514, -1063, 
-273, -1154, 
-47, -1198, 
195, -1177, 
448, -1118, 
668, -987, 
867, -834, 
1020, -630, 
1118, -403, 
1169, -166, 
1193, 82, 
1156, 332, 
1067, 578, 
914, 792, 
738, 945, 
511, 1077, 
278, 1167, 
45, 1206, 
-204, 1195, 
-447, 1112, 
-673, 971, 
-852, 820, 
-1027, 629, 
-1113, 412, 
-1179, 143, 
-1196, -82, 
-1132, -333, 
-1073, -573, 
-918, -777, 
-729, -943, 
-507, -1080, 
-283, -1145, 
-31, -1202, 
221, -1181, 
460, -1094, 
675, -966, 
869, -822, 
1015, -630, 
1126, -395, 
1195, -147, 
1198, 89, 
1144, 339, 
1056, 588, 
911, 785, 
734, 957, 
510, 1095, 
268, 1175, 
29, 1216, 
-226, 1194, 
-471, 1110, 
-676, 999, 
-858, 838, 
-1025, 633, 
-1128, 401, 
-1194, 176, 
-1203, -97, 
-1147, -339, 
-1039, -572, 
-916, -791, 
-730, -970, 
-523, -1086, 
-275, -1158, 
-16, -1197, 
246, -1182, 
457, -1115, 
684, -982, 
878, -824, 
1025, -627, 
1144, -395, 
1190, -143, 
1204, 101, 
1143, 346, 
1045, 584, 
913, 793, 
724, 959, 
503, 1086, 
270, 1172, 
34, 1197, 
-237, 1182, 
-468, 1105, 
-696, 997, 
-871, 807, 
-1029, 616, 
-1127, 374, 
-1188, 134, 
-1172, -113, 
-1128, -355, 
-1045, -586, 
-905, -793, 
-705, -958, 
-504, -1087, 
-262, -1145, 
-16, -1180, 
253, -1161, 
500, -1083, 
698, -981, 
879, -797, 
1038, -597, 
1136, -370, 
1184, -132, 
1182, 123, 
1144, 356, 
1040, 592, 
891, 792, 
706, 964, 
493, 1110, 
255, 1178, 
15, 1193, 
-246, 1177, 
-488, 1106, 
-709, 974, 
-890, 804, 
-1031, 603, 
-1139, 397, 
-1186, 149, 
-1178, -106, 
-1166, -354, 
-1047, -572, 
-920, -786, 
-720, -957, 
-499, -1087, 
-261, -1163, 
-17, -1202, 
243, -1158, 
469, -1084, 
692, -972, 
887, -812, 
1026, -603, 
1145, -374, 
1196, -145, 
1203, 115, 
1149, 354, 
1027, 596, 
887, 800, 
711, 959, 
505, 1085, 
262, 1165, 
24, 1212, 
-233, 1189, 
-485, 1096, 
-684, 976, 
-870, 805, 
-1037, 611, 
-1137, 372, 
-1189, 146, 
-1172, -109, 
-1147, -368, 
-1031, -590, 
-894, -791, 
-698, -972, 
-487, -1094, 
-244, -1165, 
-6, -1197, 
258, -1170, 
487, -1097, 
719, -955, 
877, -805, 
1043, -607, 
1134, -355, 
1196, -118, 
1190, 127, 
1145, 363, 
1037, 597, 
895, 811, 
704, 978, 
490, 1097, 
245, 1186, 
2, 1184, 
-260, 1171, 
-502, 1076, 
-702, 964, 
-893, 786, 
-1033, 588, 
-1135, 361, 
-1194, 112, 
-1185, -138, 
-1134, -362, 
-1038, -600, 
-879, -814, 
-686, -968, 
-471, -1092, 
-230, -1182, 
14, -1200, 
259, -1170, 
493, -1093, 
721, -947, 
900, -782, 
1059, -595, 
1150, -353, 
1200, -88, 
1195, 152, 
1142, 398, 
1029, 617, 
896, 812, 
706, 988, 
463, 1108, 
252, 1167, 
-20, 1196, 
-269, 1156, 
-526, 1089, 
-722, 953, 
-909, 788, 
-1045, 568, 
-1151, 332, 
-1171, 83, 
-1188, -164, 
-1119, -402, 
-1031, -615, 
-864, -822, 
-682, -984, 
-465, -1102, 
-213, -1166, 
32, -1183, 
279, -1152, 
521, -1086, 
736, -950, 
904, -776, 
1051, -563, 
1149, -339, 
1197, -107, 
1192, 156, 
1124, 406, 
1027, 615, 
876, 817, 
690, 988, 
458, 1111, 
227, 1184, 
-29, 1200, 
-274, 1177, 
-517, 1091, 
-716, 961, 
-896, 787, 
-1060, 573, 
-1162, 354, 
-1175, 104, 
-1188, -148, 
-1133, -406, 
-1020, -627, 
-848, -809, 
-674, -990, 
-441, -1106, 
-211, -1177, 
41, -1202, 
282, -1160, 
518, -1073, 
718, -949, 
914, -785, 
1067, -570, 
1153, -326, 
1181, -72, 
1204, 165, 
1132, 401, 
1013, 621, 
876, 831, 
676, 1003, 
473, 1125, 
220, 1192, 
-43, 1221, 
-282, 1180, 
-523, 1081, 
-743, 934, 
-911, 766, 
-1056, 555, 
-1147, 323, 
-1193, 74, 
-1185, -158, 
-1121, -402, 
-1011, -647, 
-846, -840, 
-663, -998, 
-461, -1115, 
-194, -1174, 
62, -1205, 
303, -1174, 
533, -1088, 
767, -932, 
933, -769, 
1055, -563, 
1151, -317, 
1203, -79, 
1177, 170, 
1131, 411, 
998, 636, 
865, 837, 
674, 1007, 
451, 1109, 
199, 1176, 
-42, 1193, 
-292, 1147, 
-516, 1084, 
-713, 948, 
-911, 761, 
-1056, 558, 
-1156, 313, 
-1178, 79, 
-1193, -162, 
-1113, -406, 
-1007, -649, 
-863, -831, 
-677, -994, 
-434, -1116, 
-205, -1189, 
47, -1185, 
281, -1133, 
527, -1064, 
740, -936, 
917, -759, 
1086, -564, 
1172, -328, 
1192, -78, 
1174, 170, 
1119, 419, 
1014, 659, 
865, 837, 
666, 988, 
465, 1104, 
207, 1180, 
-50, 1212, 
-295, 1172, 
-524, 1081, 
-741, 936, 
-917, 759, 
-1060, 537, 
-1158, 315, 
-1198, 88, 
-1179, -158, 
-1127, -406, 
-1013, -626, 
-886, -805, 
-664, -988, 
-453, -1129, 
-208, -1176, 
52, -1192, 
311, -1148, 
534, -1073, 
753, -947, 
926, -764, 
1052, -544, 
1150, -298, 
1195, -69, 
1186, 201, 
1119, 438, 
1021, 668, 
850, 857, 
652, 1020, 
427, 1118, 
186, 1180, 
-66, 1205, 
-321, 1167, 
-550, 1083, 
-751, 950, 
-919, 761, 
-1070, 555, 
-1149, 308, 
-1205, 71, 
-1188, -174, 
-1133, -430, 
-1001, -641, 
-834, -842, 
-652, -996, 
-445, -1112, 
-190, -1166, 
77, -1204, 
317, -1153, 
544, -1066, 
760, -918, 
933, -753, 
1064, -543, 
1151, -315, 
1182, -59, 
1184, 197, 
1139, 430, 
1010, 654, 
860, 859, 
642, 1016, 
421, 1137, 
173, 1200, 
-85, 1198, 
-310, 1154, 
-544, 1077, 
-753, 947, 
-942, 773, 
-1071, 543, 
-1175, 298, 
-1189, 59, 
-1191, -199, 
-1119, -417, 
-996, -647, 
-850, -850, 
-645, -1015, 
-419, -1112, 
-182, -1178, 
66, -1191, 
324, -1155, 
540, -1064, 
755, -929, 
922, -756, 
1073, -542, 
1166, -316, 
1196, -66, 
1188, 188, 
1119, 451, 
1010, 671, 
833, 865, 
656, 1005, 
443, 1128, 
188, 1188, 
-73, 1202, 
-322, 1160, 
-562, 1062, 
-761, 934, 
-939, 748, 
-1066, 540, 
-1176, 303, 
-1203, 58, 
-1180, -208, 
-1112, -438, 
-982, -657, 
-857, -847, 
-645, -1001, 
-432, -1112, 
-182, -1187, 
60, -1189, 
325, -1153, 
543, -1058, 
749, -923, 
934, -738, 
1068, -522, 
1170, -299, 
1213, -40, 
1182, 201, 
1117, 429, 
1001, 660, 
806, 870, 
629, 1005, 
410, 1115, 
157, 1192, 
-61, 1178, 
-331, 1147, 
-562, 1075, 
-765, 935, 
-936, 745, 
-1077, 538, 
-1156, 290, 
-1202, 45, 
-1175, -201, 
-1111, -442, 
-1000, -667, 
-842, -855, 
-652, -1026, 
-421, -1122, 
-182, -1177, 
69, -1174, 
319, -1145, 
551, -1062, 
764, -921, 
952, -752, 
1079, -528, 
1167, -297, 
1197, -54, 
1171, 210, 
1110, 445, 
990, 669, 
845, 864, 
648, 1017, 
432, 1110, 
164, 1183, 
-86, 1199, 
-345, 1150, 
-562, 1052, 
-766, 927, 
-945, 739, 
-1075, 526, 
-1162, 294, 
-1202, 39, 
-1178, -192, 
-1124, -440, 
-996, -669, 
-842, -869, 
-625, -1011, 
-415, -1126, 
-179, -1181, 
74, -1196, 
320, -1150, 
554, -1061, 
776, -912, 
949, -739, 
1061, -531, 
1167, -299, 
1190, -33, 
1171, 209, 
1102, 454, 
991, 679, 
827, 874, 
617, 1013, 
403, 1124, 
160, 1187, 
-95, 1199, 
-335, 1158, 
-565, 1043, 
-782, 905, 
-961, 729, 
-1085, 513, 
-1168, 282, 
-1206, 26, 
-1178, -212, 
-1094, -458, 
-1001, -680, 
-822, -884, 
-611, -1029, 
-400, -1139, 
-145, -1184, 
99, -1184, 
359, -1137, 
584, -1034, 
786, -899, 
951, -723, 
1093, -514, 
1173, -279, 
1210, -18, 
1178, 233, 
1097, 463, 
983, 680, 
822, 880, 
622, 1028, 
400, 1123, 
160, 1189, 
-87, 1196, 
-336, 1146, 
-574, 1040, 
-783, 909, 
-954, 731, 
-1055, 520, 
-1156, 270, 
-1186, 33, 
-1177, -221, 
-1092, -462, 
-999, -679, 
-813, -875, 
-622, -1037, 
-388, -1135, 
-152, -1189, 
105, -1210, 
356, -1147, 
590, -1046, 
792, -912, 
956, -743, 
1080, -505, 
1180, -271, 
1192, -10, 
1166, 234, 
1096, 476, 
962, 697, 
828, 886, 
614, 1036, 
389, 1144, 
160, 1192, 
-102, 1195, 
-354, 1146, 
-587, 1046, 
-783, 898, 
-958, 704, 
-1075, 512, 
-1177, 279, 
-1188, 22, 
-1162, -228, 
-1122, -473, 
-969, -683, 
-830, -878, 
-620, -1020, 
-387, -1125, 
-148, -1179, 
116, -1189, 
356, -1150, 
