-226, 1153, 
-454, 1083, 
-665, 971, 
-858, 786, 
-1013, 602, 
-1112, 401, 
-1163, 144, 
-1175, -106, 
-1141, -355, 
-1020, -552, 
-876, -760, 
-713, -936, 
-505, -1062, 
-269, -1135, 
-30, -1169, 
215, -1139, 
447, -1067, 
662, -963, 
845, -795, 
993, -593, 
1110, -393, 
1158, -129, 
1164, 109, 
1120, 344, 
1021, 566, 
877, 770, 
704, 930, 
489, 1050, 
266, 1125, 
35, 1177, 
-231, 1151, 
-450, 1062, 
-674, 944, 
-855, 788, 
-992, 586, 
-1106, 391, 
-1163, 140, 
-1152, -92, 
-1107, -346, 
-1010, -571, 
-872, -773, 
-710, -924, 
-493, -1063, 
-269, -1137, 
3, -1156, 
239, -1138, 
477, -1074, 
664, -949, 
853, -793, 
1003, -593, 
1097, -374, 
1152, -134, 
1159, 106, 
1103, 345, 
1015, 553, 
864, 758, 
693, 940, 
482, 1064, 
246, 1139, 
26, 1151, 
-220, 1144, 
-460, 1067, 
-663, 931, 
-852, 784, 
-988, 583, 
-1099, 366, 
-1166, 113, 
-1157, -111, 
-1103, -348, 
-1010, -566, 
-873, -775, 
-686, -935, 
-474, -1061, 
-253, -1137, 
-2, -1170, 
256, -1151, 
461, -1064, 
704, -942, 
866, -788, 
994, -596, 
1120, -362, 
1165, -129, 
1169, 109, 
1107, 343, 
1005, 575, 
876, 773, 
704, 930, 
485, 1071, 
245, 1127, 
0, 1157, 
-243, 1139, 
-466, 1055, 
-686, 953, 
-859, 780, 
-1009, 578, 
-1106, 350, 
-1162, 125, 
-1142, -124, 
-1128, -361, 
-1022, -594, 
-862, -792, 
-682, -943, 
-473, -1067, 
-232, -1138, 
7, -1174, 
235, -1131, 
484, -1059, 
687, -925, 
862, -751, 
1019, -583, 
1111, -348, 
1169, -110, 
1150, 139, 
1118, 357, 
1007, 578, 
855, 775, 
688, 935, 
471, 1072, 
243, 1113, 
-19, 1163, 
-245, 1145, 
-483, 1065, 
-692, 949, 
-859, 792, 
-1018, 580, 
-1106, 359, 
-1166, 121, 
-1139, -118, 
-1110, -370, 
-1012, -590, 
-870, -789, 
-676, -950, 
-466, -1079, 
-237, -1145, 
6, -1166, 
253, -1142, 
493, -1064, 
682, -934, 
876, -778, 
1011, -568, 
1107, -348, 
1147, -110, 
1151, 132, 
1095, 375, 
1005, 605, 
854, 789, 
669, 959, 
463, 1075, 
233, 1153, 
-8, 1155, 
-255, 1123, 
-491, 1054, 
-693, 932, 
-863, 763, 
-1019, 571, 
-1121, 351, 
-1171, 107, 
-1173, -123, 
-1100, -380, 
-1013, -582, 
-860, -777, 
-682, -939, 
-464, -1075, 
-230, -1126, 
8, -1168, 
243, -1138, 
493, -1051, 
671, -931, 
858, -777, 
995, -575, 
1097, -333, 
1151, -98, 
1160, 146, 
1092, 384, 
1007, 595, 
853, 777, 
676, 958, 
461, 1068, 
214, 1139, 
-36, 1169, 
-264, 1135, 
-497, 1051, 
-697, 933, 
-891, 766, 
-1019, 565, 
-1110, 347, 
-1135, 109, 
-1149, -146, 
-1087, -379, 
-992, -599, 
-841, -796, 
-658, -965, 
-459, -1080, 
-215, -1142, 
19, -1162, 
275, -1142, 
495, -1055, 
710, -919, 
888, -760, 
1014, -570, 
1111, -334, 
1146, -97, 
1155, 163, 
1118, 385, 
1023, 608, 
853, 789, 
650, 961, 
444, 1077, 
218, 1148, 
-27, 1175, 
-268, 1130, 
-491, 1053, 
-698, 939, 
-880, 788, 
-1004, 565, 
-1113, 341, 
-1151, 84, 
-1158, -137, 
-1099, -385, 
-989, -591, 
-854, -783, 
-677, -945, 
-475, -1057, 
-222, -1126, 
33, -1167, 
247, -1125, 
469, -1024, 
697, -928, 
883, -765, 
1004, -568, 
1112, -332, 
1152, -109, 
1150, 143, 
1087, 393, 
988, 605, 
860, 790, 
675, 960, 
453, 1078, 
218, 1131, 
-19, 1165, 
-260, 1127, 
-493, 1052, 
-700, 927, 
-887, 773, 
-1016, 564, 
-1115, 346, 
-1158, 108, 
-1157, -148, 
-1106, -381, 
-987, -618, 
-826, -811, 
-648, -973, 
-432, -1077, 
-202, -1154, 
31, -1169, 
281, -1134, 
495, -1050, 
699, -931, 
885, -758, 
1036, -551, 
1104, -327, 
1148, -76, 
1161, 162, 
1113, 406, 
992, 600, 
845, 779, 
664, 963, 
442, 1085, 
202, 1142, 
-32, 1157, 
-268, 1125, 
-511, 1041, 
-711, 919, 
-902, 746, 
-1001, 543, 
-1131, 325, 
-1143, 85, 
-1162, -164, 
-1099, -402, 
-997, -615, 
-811, -800, 
-654, -962, 
-435, -1082, 
-199, -1142, 
30, -1140, 
297, -1117, 
524, -1046, 
705, -915, 
901, -746, 
1031, -541, 
1101, -309, 
1152, -63, 
1145, 176, 
1104, 404, 
978, 625, 
836, 820, 
651, 961, 
441, 1073, 
208, 1151, 
-28, 1170, 
-292, 1146, 
-515, 1038, 
-729, 913, 
-897, 746, 
-1035, 551, 
-1098, 310, 
-1162, 74, 
-1162, -165, 
-1104, -398, 
-987, -608, 
-826, -811, 
-640, -974, 
-417, -1085, 
-178, -1143, 
44, -1153, 
292, -1129, 
506, -1055, 
746, -924, 
901, -749, 
1026, -539, 
1122, -308, 
1175, -69, 
1163, 162, 
1081, 421, 
963, 649, 
831, 801, 
660, 963, 
429, 1078, 
198, 1141, 
-29, 1177, 
-280, 1128, 
-506, 1045, 
-707, 922, 
-896, 755, 
-1039, 529, 
-1102, 315, 
-1161, 77, 
-1147, -159, 
-1095, -394, 
-972, -613, 
-838, -801, 
-650, -970, 
-432, -1081, 
-179, -1150, 
49, -1175, 
298, -1118, 
519, -1029, 
712, -886, 
905, -732, 
1041, -539, 
1124, -301, 
1165, -50, 
1159, 192, 
1081, 416, 
973, 635, 
827, 807, 
628, 983, 
396, 1097, 
175, 1148, 
-62, 1161, 
-317, 1134, 
-552, 1033, 
-730, 895, 
-897, 723, 
-1032, 531, 
-1118, 303, 
-1166, 68, 
-1135, -188, 
-1078, -426, 
-981, -642, 
-809, -834, 
-621, -986, 
-406, -1084, 
-166, -1146, 
53, -1158, 
291, -1122, 
527, -1030, 
735, -915, 
909, -732, 
1038, -512, 
1117, -277, 
1163, -46, 
1147, 183, 
1082, 425, 
961, 651, 
810, 829, 
599, 994, 
392, 1089, 
160, 1165, 
-76, 1178, 
-319, 1110, 
-533, 1030, 
-740, 904, 
-899, 731, 
-1035, 527, 
-1125, 305, 
-1190, 49, 
-1151, -206, 
-1090, -441, 
-961, -645, 
-798, -837, 
-622, -987, 
-393, -1099, 
-170, -1159, 
82, -1166, 
309, -1115, 
548, -1030, 
745, -891, 
907, -720, 
1042, -502, 
1127, -275, 
1151, -35, 
1154, 203, 
1086, 432, 
963, 641, 
793, 828, 
604, 974, 
385, 1091, 
145, 1147, 
-95, 1170, 
-317, 1135, 
-551, 1021, 
-762, 887, 
-912, 715, 
-1061, 488, 
-1118, 272, 
-1181, 30, 
-1150, -222, 
-1077, -451, 
-943, -667, 
-808, -847, 
-601, -986, 
-385, -1090, 
-136, -1154, 
92, -1161, 
323, -1098, 
549, -1030, 
753, -896, 
911, -709, 
1049, -505, 
1130, -274, 
1171, -20, 
1144, 226, 
1084, 452, 
954, 667, 
796, 841, 
599, 1008, 
382, 1112, 
135, 1151, 
-111, 1157, 
-338, 1114, 
-563, 1029, 
-765, 886, 
-920, 698, 
-1050, 474, 
-1121, 271, 
-1162, 35, 
-1136, -216, 
-1087, -450, 
-973, -660, 
-795, -845, 
-593, -1000, 
-379, -1101, 
-144, -1149, 
83, -1165, 
347, -1138, 
564, -1018, 
776, -883, 
927, -698, 
1052, -492, 
1132, -272, 
1155, -23, 
1147, 207, 
1075, 441, 
967, 663, 
790, 848, 
610, 995, 
394, 1093, 
159, 1159, 
-92, 1168, 
-343, 1121, 
-558, 1024, 
-759, 874, 
-925, 676, 
-1056, 496, 
-1128, 275, 
-1167, 22, 
-1140, -215, 
-1062, -456, 
-957, -669, 
-795, -858, 
-611, -1006, 
-392, -1112, 
-133, -1150, 
96, -1167, 
333, -1113, 
548, -1025, 
746, -875, 
932, -708, 
1055, -477, 
1136, -270, 
1166, -19, 
1141, 226, 
1069, 458, 
967, 655, 
808, 849, 
607, 988, 
381, 1088, 
145, 1149, 
-98, 1155, 
-333, 1108, 
-560, 1021, 
-748, 885, 
-912, 708, 
-1039, 499, 
-1147, 283, 
-1150, 34, 
-1139, -222, 
-1056, -459, 
-960, -667, 
-793, -846, 
-595, -987, 
-367, -1107, 
-113, -1171, 
119, -1164, 
352, -1099, 
566, -1004, 
755, -877, 
938, -690, 
1053, -493, 
1129, -264, 
1165, -20, 
1163, 225, 
1075, 449, 
952, 664, 
816, 869, 
611, 996, 
389, 1088, 
142, 1163, 
-98, 1159, 
-324, 1114, 
-555, 1001, 
-756, 881, 
-944, 697, 
-1049, 487, 
-1149, 244, 
-1146, 8, 
-1136, -236, 
-1051, -462, 
-932, -671, 
-786, -862, 
-579, -1022, 
-356, -1109, 
-125, -1159, 
116, -1162, 
352, -1097, 
587, -969, 
773, -849, 
951, -670, 
1061, -464, 
1130, -239, 
1165, 9, 
1152, 247, 
1060, 477, 
942, 673, 
771, 859, 
569, 1005, 
360, 1093, 
129, 1155, 
-128, 1158, 
-372, 1107, 
-579, 1012, 
-775, 870, 
-935, 688, 
-1056, 465, 
-1134, 236, 
-1165, 12, 
-1128, -237, 
-1078, -472, 
-943, -692, 
-783, -853, 
-571, -1012, 
-354, -1107, 
-118, -1156, 
122, -1142, 
359, -1094, 
583, -1003, 
785, -873, 
936, -670, 
1060, -465, 
1139, -262, 
1169, -5, 
1147, 229, 
1067, 461, 
942, 680, 
795, 862, 
589, 1011, 
360, 1122, 
137, 1166, 
-106, 1149, 
-355, 1102, 
-579, 1008, 
-778, 862, 
-941, 681, 
-1053, 491, 
-1136, 244, 
-1149, 5, 
-1127, -243, 
-1065, -463, 
-932, -686, 
-781, -865, 
-585, -1019, 
-357, -1109, 
-110, -1167, 
135, -1151, 
360, -1104, 
584, -1007, 
772, -843, 
940, -668, 
1065, -460, 
1136, -245, 
1156, -2, 
1127, 242, 
1068, 482, 
961, 685, 
797, 859, 
588, 1002, 
360, 1106, 
119, 1146, 
-132, 1149, 
-373, 1108, 
-590, 1013, 
-786, 871, 
-945, 691, 
-1075, 464, 
-1118, 236, 
-1167, -10, 
-1125, -255, 
-1058, -479, 
-921, -684, 
-782, -861, 
-584, -1024, 
-355, -1114, 
-98, -1160, 
151, -1156, 
382, -1094, 
596, -994, 
778, -853, 
937, -672, 
1075, -463, 
1125, -225, 
1151, 0, 
1128, 256, 
1050, 488, 
919, 694, 
754, 880, 
576, 1022, 
339, 1119, 
113, 1162, 
-151, 1163, 
-385, 1089, 
-590, 1000, 
-793, 855, 
-956, 655, 
-1077, 452, 
-1137, 217, 
-1148, -20, 
-1124, -286, 
-1034, -509, 
-910, -701, 
-762, -882, 
-552, -1028, 
-301, -1113, 
-85, -1157, 
147, -1149, 
372, -1099, 
599, -985, 
796, -847, 
964, -651, 
1068, -435, 
1136, -218, 
1158, 15, 
1125, 258, 
1021, 502, 
923, 708, 
762, 895, 
558, 1028, 
342, 1102, 
89, 1156, 
-140, 1146, 
-398, 1091, 
-603, 1003, 
-799, 851, 
-969, 653, 
-1061, 424, 
-1160, 211, 
-1163, -25, 
-1117, -271, 
-1041, -482, 
-912, -711, 
-764, -886, 
-558, -1023, 
-331, -1109, 
-86, -1145, 
151, -1148, 
382, -1101, 
607, -990, 
813, -857, 
945, -664, 
1075, -429, 
1140, -207, 
1169, 51, 
1141, 266, 
1063, 487, 
923, 694, 
757, 881, 
553, 1015, 
338, 1114, 
84, 1156, 
-164, 1141, 
-392, 1097, 
-587, 1007, 
-797, 855, 
-956, 666, 
-1079, 432, 
-1140, 195, 
-1164, -33, 
-1127, -288, 
-1059, -508, 
-921, -699, 
-762, -894, 
-558, -1033, 
-331, -1118, 
-98, -1159, 
142, -1154, 
387, -1105, 
616, -994, 
791, -837, 
956, -651, 
1059, -440, 
1139, -211, 
1153, 22, 
1128, 270, 
1043, 501, 
916, 719, 
745, 904, 
553, 1020, 
327, 1091, 
76, 1159, 
-165, 1149, 
-406, 1080, 
-612, 979, 
-799, 832, 
-951, 651, 
-1080, 420, 
-1149, 186, 
-1168, -30, 
-1132, -285, 
-1037, -509, 
-920, -714, 
-755, -897, 
-550, -1028, 
-318, -1115, 
-92, -1155, 
152, -1154, 
384, -1087, 
589, -990, 
814, -835, 
964, -658, 
1075, -437, 
1140, -199, 
1173, 44, 
1124, 280, 
1020, 513, 
902, 728, 
736, 912, 
545, 1034, 
320, 1115, 
77, 1145, 
-196, 1139, 
-411, 1094, 
-620, 976, 
-815, 803, 
-952, 646, 
-1078, 433, 
-1157, 208, 
-1159, -48, 
-1121, -283, 
-1040, -520, 
-911, -723, 
-741, -900, 
-542, -1049, 
-315, -1131, 
-59, -1181, 
172, -1150, 
393, -1084, 
614, -981, 
809, -835, 
955, -651, 
1064, -445, 
1141, -221, 
1163, 29, 
1125, 304, 
1033, 522, 
920, 707, 
732, 908, 
543, 1022, 
301, 1125, 
81, 1165, 
-181, 1143, 
-408, 1062, 
-613, 966, 
-813, 843, 
-963, 634, 
-1075, 415, 
-1143, 177, 
-1159, -37, 
-1122, -291, 
-1022, -505, 
-918, -713, 
-727, -893, 
-527, -1023, 
-295, -1114, 
-71, -1143, 
179, -1128, 
409, -1080, 
636, -984, 
820, -831, 
964, -651, 
1078, -410, 
1152, -186, 
1149, 51, 
1110, 288, 
1038, 537, 
909, 749, 
732, 910, 
536, 1033, 
299, 1124, 
58, 1161, 
-190, 1141, 
-410, 1088, 
-633, 983, 
-827, 818, 
-979, 633, 
-1083, 420, 
-1143, 191, 
-1166, -56, 
-1136, -288, 
-1040, -521, 
-920, -728, 
-741, -900, 
-537, -1044, 
-308, -1120, 
-62, -1159, 
191, -1163, 
390, -1087, 
628, -968, 
829, -838, 
971, -640, 
1057, -424, 
1124, -201, 
1154, 61, 
1106, 313, 
1039, 532, 
921, 736, 
760, 881, 
541, 1042, 
286, 1119, 
75, 1160, 
-162, 1149, 
-426, 1084, 
-646, 973, 
-818, 821, 
-971, 639, 
-1087, 423, 
-1142, 194, 
-1177, -78, 
-1113, -328, 
-1033, -553, 
-872, -747, 
-718, -918, 
-526, -1046, 
-296, -1122, 
-49, -1160, 
185, -1144, 
404, -1089, 
631, -966, 
834, -818, 
979, -631, 
1091, -402, 
1146, -161, 
1172, 77, 
1111, 312, 
1035, 533, 
909, 733, 
722, 920, 
523, 1050, 
275, 1127, 
52, 1153, 
-183, 1143, 
-440, 1077, 
-639, 966, 
-813, 812, 
-979, 609, 
-1082, 384, 
-1150, 180, 
-1170, -72, 
-1130, -306, 
-1041, -532, 
-906, -732, 
-740, -897, 
-514, -1023, 
-307, -1126, 
-48, -1186, 
201, -1142, 
425, -1082, 
651, -977, 
823, -813, 
996, -610, 
1098, -417, 
1152, -178, 
1159, 70, 
1116, 323, 
1024, 535, 
882, 749, 
726, 920, 
519, 1053, 
279, 1121, 
40, 1166, 
-199, 1153, 
-437, 1084, 
-638, 972, 
-819, 807, 
-965, 615, 
-1088, 409, 
-1156, 161, 
-1142, -88, 
-1127, -328, 
-1007, -552, 
-880, -755, 
-698, -904, 
-518, -1037, 
-284, -1119, 
-39, -1160, 
213, -1145, 
445, -1068, 
678, -960, 
842, -806, 
983, -610, 
1099, -401, 
1147, -150, 
1155, 90, 
1117, 312, 
1023, 535, 
885, 745, 
705, 908, 
516, 1052, 
290, 1115, 
42, 1154, 
-202, 1134, 
-439, 1066, 
-651, 948, 
-833, 797, 
-978, 595, 
-1073, 397, 
-1144, 155, 
-1157, -93, 
-1120, -336, 
-1027, -557, 
-880, -760, 
-683, -920, 
-501, -1052, 
-292, -1142, 
-30, -1178, 
207, -1161, 
427, -1118, 
648, -975, 
855, -797, 
1002, -613, 
1107, -392, 
1144, -163, 
1153, 72, 
1122, 321, 
1042, 553, 
902, 749, 
723, 904, 
513, 1045, 
279, 1128, 
28, 1156, 
-205, 1144, 
-444, 1072, 
-650, 958, 
-836, 787, 
-984, 585, 
-1103, 391, 
-1171, 153, 
-1155, -85, 
-1118, -338, 
-1015, -545, 
-892, -753, 
-698, -929, 
-489, -1056, 
-260, -1137, 
-20, -1146, 
225, -1132, 
436, -1057, 
656, -950, 
862, -804, 
983, -606, 
1086, -384, 
1146, -141, 
1158, 90, 
1123, 335, 
1022, 554, 
897, 759, 
692, 928, 
471, 1052, 
271, 1130, 
23, 1147, 
-213, 1142, 
-448, 1069, 
-681, 964, 
-845, 781, 
-996, 596, 
-1112, 373, 
-1157, 147, 
-1163, -99, 
-1131, -343, 
-1021, -565, 
-865, -766, 
-703, -911, 
-508, -1030, 
-280, -1124, 
-18, -1156, 
240, -1128, 
456, -1057, 
665, -952, 
861, -803, 
999, -596, 
1104, -400, 
1155, -148, 
1152, 125, 
1091, 345, 
1014, 576, 
880, 771, 
700, 918, 
481, 1058, 
269, 1144, 
21, 1155, 
-223, 1132, 
-467, 1060, 
-663, 958, 
-846, 793, 
-1009, 597, 
-1111, 379, 
