"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -3.37620427604E+001, +0.00000000000E+000
+1.07000000000E+008, -3.36022580114E+001, +0.00000000000E+000
+1.14000000000E+008, -3.35405525166E+001, +0.00000000000E+000
+1.21000000000E+008, -3.37717259893E+001, +0.00000000000E+000
+1.28000000000E+008, -3.38374099536E+001, +0.00000000000E+000
+1.35000000000E+008, -3.43102404175E+001, +0.00000000000E+000
+1.42000000000E+008, -3.42699666891E+001, +0.00000000000E+000
+1.49000000000E+008, -3.49711951671E+001, +0.00000000000E+000
+1.56000000000E+008, -3.51422305813E+001, +0.00000000000E+000
+1.63000000000E+008, -3.51257659365E+001, +0.00000000000E+000
+1.70000000000E+008, -3.59769660384E+001, +0.00000000000E+000
+1.77000000000E+008, -3.56472196902E+001, +0.00000000000E+000
+1.84000000000E+008, -3.63806466768E+001, +0.00000000000E+000
+1.91000000000E+008, -3.58792321444E+001, +0.00000000000E+000
+1.98000000000E+008, -3.55957801835E+001, +0.00000000000E+000
+2.05000000000E+008, -3.56149693495E+001, +0.00000000000E+000
+2.12000000000E+008, -3.51318981595E+001, +0.00000000000E+000
+2.19000000000E+008, -3.50471899026E+001, +0.00000000000E+000
+2.26000000000E+008, -3.45253528123E+001, +0.00000000000E+000
+2.33000000000E+008, -3.39588836547E+001, +0.00000000000E+000
+2.40000000000E+008, -3.37907870814E+001, +0.00000000000E+000
+2.47000000000E+008, -3.32283484193E+001, +0.00000000000E+000
+2.54000000000E+008, -3.35960972951E+001, +0.00000000000E+000
+2.61000000000E+008, -3.32959926979E+001, +0.00000000000E+000
+2.68000000000E+008, -3.32600625889E+001, +0.00000000000E+000
+2.75000000000E+008, -3.33277918683E+001, +0.00000000000E+000
+2.82000000000E+008, -3.34428965892E+001, +0.00000000000E+000
+2.89000000000E+008, -3.34367496268E+001, +0.00000000000E+000
+2.96000000000E+008, -3.34051591636E+001, +0.00000000000E+000
+3.03000000000E+008, -3.36479273589E+001, +0.00000000000E+000
+3.10000000000E+008, -3.38094841288E+001, +0.00000000000E+000
+3.17000000000E+008, -3.39675757154E+001, +0.00000000000E+000
+3.24000000000E+008, -3.44235287814E+001, +0.00000000000E+000
+3.31000000000E+008, -3.48949281827E+001, +0.00000000000E+000
+3.38000000000E+008, -3.54133446137E+001, +0.00000000000E+000
+3.45000000000E+008, -3.56984767098E+001, +0.00000000000E+000
+3.52000000000E+008, -3.59015155564E+001, +0.00000000000E+000
+3.59000000000E+008, -3.54431958521E+001, +0.00000000000E+000
+3.66000000000E+008, -3.63569954777E+001, +0.00000000000E+000
+3.73000000000E+008, -3.58162224531E+001, +0.00000000000E+000
+3.80000000000E+008, -3.55684699103E+001, +0.00000000000E+000
+3.87000000000E+008, -3.51365017216E+001, +0.00000000000E+000
+3.94000000000E+008, -3.48381749470E+001, +0.00000000000E+000
+4.01000000000E+008, -3.41739420528E+001, +0.00000000000E+000
+4.08000000000E+008, -3.37505113971E+001, +0.00000000000E+000
+4.15000000000E+008, -3.35595378249E+001, +0.00000000000E+000
+4.22000000000E+008, -3.29665669618E+001, +0.00000000000E+000
+4.29000000000E+008, -3.29536267840E+001, +0.00000000000E+000
+4.36000000000E+008, -3.22958353495E+001, +0.00000000000E+000
+4.43000000000E+008, -3.22747372085E+001, +0.00000000000E+000
+4.50000000000E+008, -3.17966857159E+001, +0.00000000000E+000
+4.57000000000E+008, -3.20175454522E+001, +0.00000000000E+000
+4.64000000000E+008, -3.16155179925E+001, +0.00000000000E+000
+4.71000000000E+008, -3.18120249731E+001, +0.00000000000E+000
+4.78000000000E+008, -3.15572190585E+001, +0.00000000000E+000
+4.85000000000E+008, -3.20630430502E+001, +0.00000000000E+000
+4.92000000000E+008, -3.21159254460E+001, +0.00000000000E+000
+4.99000000000E+008, -3.24363264138E+001, +0.00000000000E+000
+5.06000000000E+008, -3.22657350250E+001, +0.00000000000E+000
+5.13000000000E+008, -3.29042533531E+001, +0.00000000000E+000
+5.20000000000E+008, -3.26249091927E+001, +0.00000000000E+000
+5.27000000000E+008, -3.29955309110E+001, +0.00000000000E+000
+5.34000000000E+008, -3.32045610685E+001, +0.00000000000E+000
+5.41000000000E+008, -3.28084304745E+001, +0.00000000000E+000
+5.48000000000E+008, -3.32121236901E+001, +0.00000000000E+000
+5.55000000000E+008, -3.26481996125E+001, +0.00000000000E+000
+5.62000000000E+008, -3.26438575098E+001, +0.00000000000E+000
+5.69000000000E+008, -3.23353819270E+001, +0.00000000000E+000
+5.76000000000E+008, -3.17183780553E+001, +0.00000000000E+000
+5.83000000000E+008, -3.16043771441E+001, +0.00000000000E+000
+5.90000000000E+008, -3.12775898270E+001, +0.00000000000E+000
+5.97000000000E+008, -3.09079284739E+001, +0.00000000000E+000
+6.04000000000E+008, -3.05978726401E+001, +0.00000000000E+000
+6.11000000000E+008, -3.00617027754E+001, +0.00000000000E+000
+6.18000000000E+008, -2.99243043605E+001, +0.00000000000E+000
+6.25000000000E+008, -2.96652567123E+001, +0.00000000000E+000
+6.32000000000E+008, -2.95784488622E+001, +0.00000000000E+000
+6.39000000000E+008, -2.95635422896E+001, +0.00000000000E+000
+6.46000000000E+008, -2.93389899607E+001, +0.00000000000E+000
+6.53000000000E+008, -2.93566393120E+001, +0.00000000000E+000
+6.60000000000E+008, -2.92618692361E+001, +0.00000000000E+000
+6.67000000000E+008, -2.92447886669E+001, +0.00000000000E+000
+6.74000000000E+008, -2.93566229513E+001, +0.00000000000E+000
+6.81000000000E+008, -2.92935421711E+001, +0.00000000000E+000
+6.88000000000E+008, -2.97216879097E+001, +0.00000000000E+000
+6.95000000000E+008, -2.98391565763E+001, +0.00000000000E+000
+7.02000000000E+008, -2.97340442837E+001, +0.00000000000E+000
+7.09000000000E+008, -2.99756880025E+001, +0.00000000000E+000
+7.16000000000E+008, -3.01012487985E+001, +0.00000000000E+000
+7.23000000000E+008, -2.99820460442E+001, +0.00000000000E+000
+7.30000000000E+008, -3.00036276897E+001, +0.00000000000E+000
+7.37000000000E+008, -3.01407992287E+001, +0.00000000000E+000
+7.44000000000E+008, -3.02392032363E+001, +0.00000000000E+000
+7.51000000000E+008, -3.00442790046E+001, +0.00000000000E+000
+7.58000000000E+008, -3.00938398657E+001, +0.00000000000E+000
+7.65000000000E+008, -2.96421778689E+001, +0.00000000000E+000
+7.72000000000E+008, -2.96077690715E+001, +0.00000000000E+000
+7.79000000000E+008, -2.92451054729E+001, +0.00000000000E+000
+7.86000000000E+008, -2.89240085126E+001, +0.00000000000E+000
+7.93000000000E+008, -2.89984439081E+001, +0.00000000000E+000
+8.00000000000E+008, -2.86054392547E+001, +0.00000000000E+000
+8.07000000000E+008, -2.83754710559E+001, +0.00000000000E+000
+8.14000000000E+008, -2.81234613482E+001, +0.00000000000E+000
+8.21000000000E+008, -2.79924783098E+001, +0.00000000000E+000
+8.28000000000E+008, -2.77344885365E+001, +0.00000000000E+000
+8.35000000000E+008, -2.78750175882E+001, +0.00000000000E+000
+8.42000000000E+008, -2.77715530835E+001, +0.00000000000E+000
+8.49000000000E+008, -2.75997256563E+001, +0.00000000000E+000
+8.56000000000E+008, -2.77791846835E+001, +0.00000000000E+000
+8.63000000000E+008, -2.76043658527E+001, +0.00000000000E+000
+8.70000000000E+008, -2.76131378352E+001, +0.00000000000E+000
+8.77000000000E+008, -2.78735888737E+001, +0.00000000000E+000
+8.84000000000E+008, -2.81162694138E+001, +0.00000000000E+000
+8.91000000000E+008, -2.81935640244E+001, +0.00000000000E+000
+8.98000000000E+008, -2.82880796771E+001, +0.00000000000E+000
+9.05000000000E+008, -2.84168298646E+001, +0.00000000000E+000
+9.12000000000E+008, -2.85714010317E+001, +0.00000000000E+000
+9.19000000000E+008, -2.86463897334E+001, +0.00000000000E+000
+9.26000000000E+008, -2.88931083622E+001, +0.00000000000E+000
+9.33000000000E+008, -2.88563511006E+001, +0.00000000000E+000
+9.40000000000E+008, -2.90679206144E+001, +0.00000000000E+000
+9.47000000000E+008, -2.87580738154E+001, +0.00000000000E+000
+9.54000000000E+008, -2.88862337447E+001, +0.00000000000E+000
+9.61000000000E+008, -2.85813316254E+001, +0.00000000000E+000
+9.68000000000E+008, -2.84133700723E+001, +0.00000000000E+000
+9.75000000000E+008, -2.83185689065E+001, +0.00000000000E+000
+9.82000000000E+008, -2.81069989964E+001, +0.00000000000E+000
+9.89000000000E+008, -2.80509605972E+001, +0.00000000000E+000
+9.96000000000E+008, -2.76456809529E+001, +0.00000000000E+000
+1.00300000000E+009, -2.75698280903E+001, +0.00000000000E+000
+1.01000000000E+009, -2.72845909661E+001, +0.00000000000E+000
+1.01700000000E+009, -2.73573473702E+001, +0.00000000000E+000
+1.02400000000E+009, -2.70695884898E+001, +0.00000000000E+000
+1.03100000000E+009, -2.70299522164E+001, +0.00000000000E+000
+1.03800000000E+009, -2.69180051379E+001, +0.00000000000E+000
+1.04500000000E+009, -2.69494934776E+001, +0.00000000000E+000
+1.05200000000E+009, -2.69631213117E+001, +0.00000000000E+000
+1.05900000000E+009, -2.70634732579E+001, +0.00000000000E+000
+1.06600000000E+009, -2.71084594633E+001, +0.00000000000E+000
+1.07300000000E+009, -2.72833894020E+001, +0.00000000000E+000
+1.08000000000E+009, -2.73953116181E+001, +0.00000000000E+000
+1.08700000000E+009, -2.75723076725E+001, +0.00000000000E+000
+1.09400000000E+009, -2.75835638525E+001, +0.00000000000E+000
+1.10100000000E+009, -2.80355269169E+001, +0.00000000000E+000
+1.10800000000E+009, -2.80769299884E+001, +0.00000000000E+000
+1.11500000000E+009, -2.82686588044E+001, +0.00000000000E+000
+1.12200000000E+009, -2.87029181621E+001, +0.00000000000E+000
+1.12900000000E+009, -2.90251736455E+001, +0.00000000000E+000
+1.13600000000E+009, -2.89382559418E+001, +0.00000000000E+000
+1.14300000000E+009, -2.90101699491E+001, +0.00000000000E+000
+1.15000000000E+009, -2.90544877565E+001, +0.00000000000E+000
+1.15700000000E+009, -2.91047100745E+001, +0.00000000000E+000
+1.16400000000E+009, -2.91355129492E+001, +0.00000000000E+000
+1.17100000000E+009, -2.88443679734E+001, +0.00000000000E+000
+1.17800000000E+009, -2.87274363459E+001, +0.00000000000E+000
+1.18500000000E+009, -2.87147637481E+001, +0.00000000000E+000
+1.19200000000E+009, -2.85233448404E+001, +0.00000000000E+000
+1.19900000000E+009, -2.83689648363E+001, +0.00000000000E+000
+1.20600000000E+009, -2.82284537385E+001, +0.00000000000E+000
+1.21300000000E+009, -2.80442913310E+001, +0.00000000000E+000
+1.22000000000E+009, -2.78075743239E+001, +0.00000000000E+000
+1.22700000000E+009, -2.78181001513E+001, +0.00000000000E+000
+1.23400000000E+009, -2.77003949861E+001, +0.00000000000E+000
+1.24100000000E+009, -2.75381366899E+001, +0.00000000000E+000
+1.24800000000E+009, -2.75862616975E+001, +0.00000000000E+000
+1.25500000000E+009, -2.75213048818E+001, +0.00000000000E+000
+1.26200000000E+009, -2.75988775796E+001, +0.00000000000E+000
+1.26900000000E+009, -2.77723750795E+001, +0.00000000000E+000
+1.27600000000E+009, -2.77887612813E+001, +0.00000000000E+000
+1.28300000000E+009, -2.81683605924E+001, +0.00000000000E+000
+1.29000000000E+009, -2.82972836535E+001, +0.00000000000E+000
+1.29700000000E+009, -2.85182804201E+001, +0.00000000000E+000
+1.30400000000E+009, -2.89150898382E+001, +0.00000000000E+000
+1.31100000000E+009, -2.93762306611E+001, +0.00000000000E+000
+1.31800000000E+009, -2.94549293083E+001, +0.00000000000E+000
+1.32500000000E+009, -2.98062653310E+001, +0.00000000000E+000
+1.33200000000E+009, -3.01049969689E+001, +0.00000000000E+000
