"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -1.71649857176E+001, +0.00000000000E+000
+1.07000000000E+008, -1.66574271118E+001, +0.00000000000E+000
+1.14000000000E+008, -1.62905686627E+001, +0.00000000000E+000
+1.21000000000E+008, -1.60552015987E+001, +0.00000000000E+000
+1.28000000000E+008, -1.60689314488E+001, +0.00000000000E+000
+1.35000000000E+008, -1.61844018160E+001, +0.00000000000E+000
+1.42000000000E+008, -1.61431214334E+001, +0.00000000000E+000
+1.49000000000E+008, -1.61120496545E+001, +0.00000000000E+000
+1.56000000000E+008, -1.60896583469E+001, +0.00000000000E+000
+1.63000000000E+008, -1.61150561818E+001, +0.00000000000E+000
+1.70000000000E+008, -1.61879532111E+001, +0.00000000000E+000
+1.77000000000E+008, -1.62460642065E+001, +0.00000000000E+000
+1.84000000000E+008, -1.62801439070E+001, +0.00000000000E+000
+1.91000000000E+008, -1.63008744360E+001, +0.00000000000E+000
+1.98000000000E+008, -1.63006649400E+001, +0.00000000000E+000
+2.05000000000E+008, -1.64448546594E+001, +0.00000000000E+000
+2.12000000000E+008, -1.64814402614E+001, +0.00000000000E+000
+2.19000000000E+008, -1.65955697006E+001, +0.00000000000E+000
+2.26000000000E+008, -1.66188304112E+001, +0.00000000000E+000
+2.33000000000E+008, -1.66207117022E+001, +0.00000000000E+000
+2.40000000000E+008, -1.65614109789E+001, +0.00000000000E+000
+2.47000000000E+008, -1.65218907355E+001, +0.00000000000E+000
+2.54000000000E+008, -1.65058663441E+001, +0.00000000000E+000
+2.61000000000E+008, -1.63796194006E+001, +0.00000000000E+000
+2.68000000000E+008, -1.62048123802E+001, +0.00000000000E+000
+2.75000000000E+008, -1.58635753007E+001, +0.00000000000E+000
+2.82000000000E+008, -1.56641707040E+001, +0.00000000000E+000
+2.89000000000E+008, -1.55723132691E+001, +0.00000000000E+000
+2.96000000000E+008, -1.54765563419E+001, +0.00000000000E+000
+3.03000000000E+008, -1.54818526791E+001, +0.00000000000E+000
+3.10000000000E+008, -1.55684396279E+001, +0.00000000000E+000
+3.17000000000E+008, -1.56313674190E+001, +0.00000000000E+000
+3.24000000000E+008, -1.57109561572E+001, +0.00000000000E+000
+3.31000000000E+008, -1.57556421354E+001, +0.00000000000E+000
+3.38000000000E+008, -1.58938033064E+001, +0.00000000000E+000
+3.45000000000E+008, -1.59729476996E+001, +0.00000000000E+000
+3.52000000000E+008, -1.60710169525E+001, +0.00000000000E+000
+3.59000000000E+008, -1.61086161805E+001, +0.00000000000E+000
+3.66000000000E+008, -1.61686536824E+001, +0.00000000000E+000
+3.73000000000E+008, -1.61368111255E+001, +0.00000000000E+000
+3.80000000000E+008, -1.60574777531E+001, +0.00000000000E+000
+3.87000000000E+008, -1.60227047622E+001, +0.00000000000E+000
+3.94000000000E+008, -1.61266277190E+001, +0.00000000000E+000
+4.01000000000E+008, -1.60398163729E+001, +0.00000000000E+000
+4.08000000000E+008, -1.59687049298E+001, +0.00000000000E+000
+4.15000000000E+008, -1.58276722221E+001, +0.00000000000E+000
+4.22000000000E+008, -1.58470988583E+001, +0.00000000000E+000
+4.29000000000E+008, -1.58163604952E+001, +0.00000000000E+000
+4.36000000000E+008, -1.58632835940E+001, +0.00000000000E+000
+4.43000000000E+008, -1.58074781781E+001, +0.00000000000E+000
+4.50000000000E+008, -1.57010262997E+001, +0.00000000000E+000
+4.57000000000E+008, -1.55924880974E+001, +0.00000000000E+000
+4.64000000000E+008, -1.54969900747E+001, +0.00000000000E+000
+4.71000000000E+008, -1.54421719157E+001, +0.00000000000E+000
+4.78000000000E+008, -1.54206418902E+001, +0.00000000000E+000
+4.85000000000E+008, -1.53881627847E+001, +0.00000000000E+000
+4.92000000000E+008, -1.53905406567E+001, +0.00000000000E+000
+4.99000000000E+008, -1.53179975239E+001, +0.00000000000E+000
+5.06000000000E+008, -1.53040559883E+001, +0.00000000000E+000
+5.13000000000E+008, -1.53650172124E+001, +0.00000000000E+000
+5.20000000000E+008, -1.53973623292E+001, +0.00000000000E+000
+5.27000000000E+008, -1.54692283932E+001, +0.00000000000E+000
+5.34000000000E+008, -1.55012701640E+001, +0.00000000000E+000
+5.41000000000E+008, -1.55716981040E+001, +0.00000000000E+000
+5.48000000000E+008, -1.54959795141E+001, +0.00000000000E+000
+5.55000000000E+008, -1.54712702780E+001, +0.00000000000E+000
+5.62000000000E+008, -1.54573394915E+001, +0.00000000000E+000
+5.69000000000E+008, -1.53962072863E+001, +0.00000000000E+000
+5.76000000000E+008, -1.53350960190E+001, +0.00000000000E+000
+5.83000000000E+008, -1.52238656542E+001, +0.00000000000E+000
+5.90000000000E+008, -1.50865610438E+001, +0.00000000000E+000
+5.97000000000E+008, -1.50047324611E+001, +0.00000000000E+000
+6.04000000000E+008, -1.49322861200E+001, +0.00000000000E+000
+6.11000000000E+008, -1.49319000963E+001, +0.00000000000E+000
+6.18000000000E+008, -1.49062411614E+001, +0.00000000000E+000
+6.25000000000E+008, -1.48594791106E+001, +0.00000000000E+000
+6.32000000000E+008, -1.48418539226E+001, +0.00000000000E+000
+6.39000000000E+008, -1.48195924494E+001, +0.00000000000E+000
+6.46000000000E+008, -1.47905211149E+001, +0.00000000000E+000
+6.53000000000E+008, -1.48215065073E+001, +0.00000000000E+000
+6.60000000000E+008, -1.48259207678E+001, +0.00000000000E+000
+6.67000000000E+008, -1.48137342061E+001, +0.00000000000E+000
+6.74000000000E+008, -1.47940152380E+001, +0.00000000000E+000
+6.81000000000E+008, -1.47099641711E+001, +0.00000000000E+000
+6.88000000000E+008, -1.46030591210E+001, +0.00000000000E+000
+6.95000000000E+008, -1.45966041181E+001, +0.00000000000E+000
+7.02000000000E+008, -1.45738216360E+001, +0.00000000000E+000
+7.09000000000E+008, -1.45351033529E+001, +0.00000000000E+000
+7.16000000000E+008, -1.44753722329E+001, +0.00000000000E+000
+7.23000000000E+008, -1.44327714015E+001, +0.00000000000E+000
+7.30000000000E+008, -1.43890135210E+001, +0.00000000000E+000
+7.37000000000E+008, -1.43631775396E+001, +0.00000000000E+000
+7.44000000000E+008, -1.43335984383E+001, +0.00000000000E+000
+7.51000000000E+008, -1.42416217613E+001, +0.00000000000E+000
+7.58000000000E+008, -1.42163999577E+001, +0.00000000000E+000
+7.65000000000E+008, -1.40850856439E+001, +0.00000000000E+000
+7.72000000000E+008, -1.40658495185E+001, +0.00000000000E+000
+7.79000000000E+008, -1.40365578707E+001, +0.00000000000E+000
+7.86000000000E+008, -1.39819049481E+001, +0.00000000000E+000
+7.93000000000E+008, -1.39554549776E+001, +0.00000000000E+000
+8.00000000000E+008, -1.39264738170E+001, +0.00000000000E+000
+8.07000000000E+008, -1.38864975726E+001, +0.00000000000E+000
+8.14000000000E+008, -1.38861412970E+001, +0.00000000000E+000
+8.21000000000E+008, -1.38511419887E+001, +0.00000000000E+000
+8.28000000000E+008, -1.38584638522E+001, +0.00000000000E+000
+8.35000000000E+008, -1.38322248350E+001, +0.00000000000E+000
+8.42000000000E+008, -1.38488045807E+001, +0.00000000000E+000
+8.49000000000E+008, -1.38530910391E+001, +0.00000000000E+000
+8.56000000000E+008, -1.38640610307E+001, +0.00000000000E+000
+8.63000000000E+008, -1.38207208723E+001, +0.00000000000E+000
+8.70000000000E+008, -1.38314301733E+001, +0.00000000000E+000
+8.77000000000E+008, -1.38462858112E+001, +0.00000000000E+000
+8.84000000000E+008, -1.38385211753E+001, +0.00000000000E+000
+8.91000000000E+008, -1.37931761846E+001, +0.00000000000E+000
+8.98000000000E+008, -1.38111987199E+001, +0.00000000000E+000
+9.05000000000E+008, -1.37549328900E+001, +0.00000000000E+000
+9.12000000000E+008, -1.37883192509E+001, +0.00000000000E+000
+9.19000000000E+008, -1.37581925040E+001, +0.00000000000E+000
+9.26000000000E+008, -1.37204258264E+001, +0.00000000000E+000
+9.33000000000E+008, -1.36742108998E+001, +0.00000000000E+000
+9.40000000000E+008, -1.36883202495E+001, +0.00000000000E+000
+9.47000000000E+008, -1.36633232068E+001, +0.00000000000E+000
+9.54000000000E+008, -1.36022438923E+001, +0.00000000000E+000
