"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-9.60000000000E+000, +1.30257135642E+001, +0.00000000000E+000
-9.40000000000E+000, +1.28932601442E+001, +0.00000000000E+000
-9.20000000000E+000, +1.27642869850E+001, +0.00000000000E+000
-9.00000000000E+000, +1.26356221705E+001, +0.00000000000E+000
-8.80000000000E+000, +1.24953647162E+001, +0.00000000000E+000
-8.60000000000E+000, +1.23627671012E+001, +0.00000000000E+000
-8.40000000000E+000, +1.22214969764E+001, +0.00000000000E+000
-8.20000000000E+000, +1.20815759372E+001, +0.00000000000E+000
-8.00000000000E+000, +1.19257318322E+001, +0.00000000000E+000
-7.80000000000E+000, +1.17817072593E+001, +0.00000000000E+000
-7.60000000000E+000, +1.16246551936E+001, +0.00000000000E+000
-7.40000000000E+000, +1.14837050746E+001, +0.00000000000E+000
-7.20000000000E+000, +1.13263725666E+001, +0.00000000000E+000
-7.00000000000E+000, +1.11727547066E+001, +0.00000000000E+000
-6.80000000000E+000, +1.10297332982E+001, +0.00000000000E+000
-6.60000000000E+000, +1.08615538950E+001, +0.00000000000E+000
-6.40000000000E+000, +1.07051933816E+001, +0.00000000000E+000
-6.20000000000E+000, +1.05359583193E+001, +0.00000000000E+000
-6.00000000000E+000, +1.03602423150E+001, +0.00000000000E+000
-5.80000000000E+000, +1.02050531768E+001, +0.00000000000E+000
-5.60000000000E+000, +1.00448381133E+001, +0.00000000000E+000
-5.40000000000E+000, +9.89332534592E+000, +0.00000000000E+000
-5.20000000000E+000, +9.71361937181E+000, +0.00000000000E+000
-5.00000000000E+000, +9.55580124422E+000, +0.00000000000E+000
-4.80000000000E+000, +9.38734420146E+000, +0.00000000000E+000
-4.60000000000E+000, +9.22585709053E+000, +0.00000000000E+000
-4.40000000000E+000, +9.05877407896E+000, +0.00000000000E+000
-4.20000000000E+000, +8.89408009853E+000, +0.00000000000E+000
-4.00000000000E+000, +8.74074190379E+000, +0.00000000000E+000
-3.80000000000E+000, +8.58035787042E+000, +0.00000000000E+000
-3.60000000000E+000, +8.41453445889E+000, +0.00000000000E+000
-3.40000000000E+000, +8.24261104488E+000, +0.00000000000E+000
-3.20000000000E+000, +8.07663102534E+000, +0.00000000000E+000
-3.00000000000E+000, +7.90638030906E+000, +0.00000000000E+000
-2.80000000000E+000, +7.74223650165E+000, +0.00000000000E+000
-2.60000000000E+000, +7.56654730499E+000, +0.00000000000E+000
-2.40000000000E+000, +7.40182087176E+000, +0.00000000000E+000
-2.20000000000E+000, +7.23060059121E+000, +0.00000000000E+000
-2.00000000000E+000, +7.05385650003E+000, +0.00000000000E+000
-1.80000000000E+000, +6.89616117546E+000, +0.00000000000E+000
-1.60000000000E+000, +6.72910068977E+000, +0.00000000000E+000
-1.40000000000E+000, +6.55703576369E+000, +0.00000000000E+000
-1.20000000000E+000, +6.39032349733E+000, +0.00000000000E+000
-1.00000000000E+000, +6.22639950085E+000, +0.00000000000E+000
-8.00000000000E-001, +6.06004073398E+000, +0.00000000000E+000
-6.00000000000E-001, +5.88006282584E+000, +0.00000000000E+000
-4.00000000000E-001, +5.70304724655E+000, +0.00000000000E+000
-2.00000000000E-001, +5.53616569265E+000, +0.00000000000E+000
+0.00000000000E+000, +5.35829788183E+000, +0.00000000000E+000
