968, -2034, 
1478, -2042, 
1823, -2005, 
1874, -2048, 
1867, -1061, 
1869, -449, 
1868, 49, 
1867, 679, 
1868, 1264, 
1865, 1780, 
1870, 1991, 
1855, 2020, 
688, 2014, 
348, 2016, 
-216, 2015, 
-760, 2015, 
-1279, 2022, 
-1751, 1985, 
-1904, 2047, 
-1926, 1546, 
-1924, 495, 
-1924, 188, 
-1923, -509, 
-1923, -1065, 
-1924, -1660, 
-1914, -1992, 
-1952, -2040, 
-788, -2034, 
-424, -2036, 
117, -2035, 
664, -2035, 
1193, -2039, 
1698, -2018, 
1888, -2048, 
1864, -1814, 
1870, -609, 
1868, -322, 
1867, 363, 
1867, 940, 
1874, 1515, 
1836, 1992, 
1972, 2020, 
1382, 2014, 
444, 2016, 
159, 2015, 
-485, 2015, 
-991, 2015, 
-1509, 2021, 
-1886, 1994, 
-1933, 2047, 
-1922, 902, 
-1925, 420, 
-1923, -143, 
-1923, -756, 
-1929, -1351, 
-1893, -1845, 
-2023, -2040, 
-1471, -2034, 
-497, -2036, 
-245, -2035, 
396, -2035, 
910, -2034, 
1441, -2043, 
1786, -2001, 
1872, -2048, 
1868, -1166, 
1869, -472, 
1868, -14, 
1867, 632, 
1867, 1203, 
1870, 1741, 
1853, 2030, 
1914, 2012, 
776, 2017, 
373, 2016, 
-163, 2015, 
-712, 2015, 
-1241, 2021, 
-1715, 1991, 
-1949, 2047, 
-1917, 1679, 
-1926, 537, 
-1923, 231, 
-1923, -460, 
-1922, -1029, 
-1927, -1592, 
-1903, -2032, 
-1990, -2035, 
-866, -2035, 
-449, -2035, 
64, -2035, 
629, -2035, 
1163, -2038, 
1608, -2024, 
1866, -2048, 
1870, -1899, 
1868, -665, 
1868, -365, 
1868, 304, 
1867, 890, 
1873, 1462, 
1840, 1932, 
1956, 2031, 
1495, 2011, 
472, 2017, 
189, 2015, 
-425, 2015, 
-947, 2015, 
-1457, 2023, 
-1844, 1986, 
-1933, 2047, 
-1922, 1035, 
-1925, 424, 
-1923, -78, 
-1923, -707, 
-1928, -1278, 
-1899, -1810, 
-2002, -2044, 
-1601, -2032, 
-545, -2036, 
-313, -2035, 
342, -2035, 
858, -2034, 
1382, -2043, 
1759, -1999, 
1882, -2048, 
1865, -1308, 
1869, -483, 
1868, -104, 
1867, 577, 
1867, 1142, 
1873, 1723, 
1839, 2031, 
1962, 2011, 
908, 2017, 
371, 2016, 
-94, 2015, 
-653, 2015, 
-1183, 2020, 
-1681, 1997, 
-1916, 2047, 
-1925, 1783, 
-1924, 586, 
-1924, 276, 
-1923, -400, 
-1922, -961, 
-1930, -1542, 
-1893, -1953, 
-2024, -2030, 
-998, -2036, 
-455, -2035, 
-15, -2035, 
570, -2035, 
1093, -2036, 
1607, -2032, 
1889, -2045, 
1864, -1999, 
1870, -743, 
1868, -405, 
1868, 239, 
1867, 826, 
1871, 1409, 
1848, 1934, 
1931, 2028, 
1620, 2012, 
506, 2017, 
250, 2015, 
-370, 2015, 
-882, 2015, 
-1423, 2024, 
-1798, 1980, 
-1920, 2047, 
-1926, 1177, 
-1924, 447, 
-1924, 2, 
-1923, -652, 
-1926, -1224, 
-1906, -1760, 
-1977, -2014, 
-1712, -2039, 
-588, -2034, 
-342, -2035, 
282, -2035, 
817, -2035, 
1340, -2043, 
1769, -2000, 
1883, -2048, 
1865, -1449, 
1870, -506, 
1868, -150, 
1867, 516, 
1867, 1089, 
1874, 1650, 
1835, 1972, 
1978, 2022, 
1024, 2014, 
385, 2016, 
-23, 2015, 
-613, 2015, 
-1138, 2018, 
-1620, 2006, 
-1920, 2047, 
-1926, 1898, 
-1924, 653, 
-1924, 347, 
-1923, -337, 
-1922, -909, 
-1930, -1478, 
-1889, -1902, 
-2039, -2048, 
-1129, -2030, 
-478, -2037, 
-83, -2035, 
522, -2035, 
1041, -2035, 
1568, -2037, 
1842, -2024, 
1869, -2048, 
1869, -852, 
1869, -425, 
1868, 163, 
1867, 774, 
1870, 1358, 
1855, 1861, 
1906, 2022, 
1720, 2014, 
560, 2016, 
287, 2016, 
-315, 2015, 
-847, 2015, 
-1351, 2024, 
-1816, 1979, 
-1943, 2047, 
-1919, 1310, 
-1925, 476, 
-1923, 67, 
-1923, -608, 
-1925, -1162, 
-1915, -1734, 
-1948, -1997, 
-1830, -2037, 
-646, -2034, 
-385, -2035, 
226, -2035, 
762, -2035, 
1291, -2042, 
1711, -2005, 
1884, -2048, 
1865, -1593, 
1870, -534, 
1868, -230, 
1867, 477, 
1867, 1035, 
1875, 1607, 
1832, 1966, 
1988, 2023, 
1135, 2014, 
432, 2016, 
46, 2015, 
-565, 2015, 
-1088, 2016, 
-1593, 2013, 
-1926, 2022, 
-1924, 1993, 
-1924, 738, 
-1924, 375, 
-1923, -252, 
-1922, -838, 
-1930, -1421, 
-1888, -1922, 
-2042, -2048, 
-1273, -2030, 
-468, -2037, 
-152, -2035, 
472, -2035, 
997, -2035, 
1505, -2041, 
1846, -2010, 
1874, -2048, 
1867, -968, 
1869, -455, 
1868, 99, 
1867, 716, 
1869, 1307, 
1862, 1842, 
1882, 2019, 
1813, 2015, 
626, 2016, 
327, 2016, 
-268, 2015, 
-786, 2015, 
-1322, 2023, 
-1733, 1982, 
-1925, 2047, 
-1924, 1469, 
-1924, 481, 
-1924, 132, 
-1923, -558, 
-1924, -1099, 
-1920, -1682, 
-1931, -1998, 
-1892, -2041, 
-715, -2033, 
-413, -2036, 
160, -2035, 
701, -2035, 
1230, -2040, 
1698, -2013, 
1871, -2048, 
1868, -1732, 
1869, -563, 
1868, -289, 
1867, 404, 
1867, 967, 
1874, 1555, 
1834, 1988, 
1978, 2021, 
1297, 2014, 
413, 2016, 
97, 2015, 
-519, 2015, 
-1022, 2015, 
-1537, 2018, 
-1922, 2003, 
-1925, 2047, 
-1924, 838, 
-1924, 403, 
-1923, -205, 
-1923, -803, 
-1930, -1377, 
-1889, -1858, 
-2035, -2041, 
-1379, -2033, 
-493, -2036, 
-214, -2035, 
418, -2035, 
954, -2034, 
1452, -2043, 
1826, -2003, 
1878, -2048, 
1866, -1093, 
1869, -454, 
1868, 25, 
1867, 674, 
1868, 1234, 
1867, 1791, 
1864, 2024, 
1877, 2013, 
725, 2016, 
355, 2016, 
-198, 2015, 
-746, 2015, 
-1268, 2022, 
-1709, 1987, 
-1937, 2047, 
-1921, 1594, 
-1925, 517, 
-1924, 202, 
-1923, -488, 
-1923, -1057, 
-1925, -1620, 
-1910, -2012, 
-1965, -2039, 
-813, -2034, 
